"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","Bulk User Creation ->","0","0","","0"
"1","","0","should renew token","0","0","","0"
"1","","0","Adding new language","0","0","","0"
"1","","0","Navigation tests: Navigation functionality","0","0","","0"
"1","","0","More Options Menu - Online User - Permissions enabled: Options displayed when there are messages, contacts and people created","0","0","","0"
"1","","0","Create user meta db : ","0","0","","0"
"1","","0","Training Materials Page","0","0","","0"
"1","","0","Privacy policy: conflicts","0","0","","0"
"1","","0","More Options Menu - Offline User - Edit permissions disabled","0","0","","0"
"1","","0","Testing Incorrect locale","0","0","","0"
"1","","0","More Options Menu - Online User - Permissions disabled","0","0","","0"
"1","","0","Old Navigation","0","0","","0"
"1","","0","Bikram Sambat date display","0","0","","0"
"1","","0","More Options Menu - Offline User","0","0","","0"
"1","","0","MessageFormat","0","0","","0"
"1","","0","Privacy policy: for an offline user","0","0","","0"
"1","","0","Navigation tests: Navigation view: as chw","0","0","","0"
"1","","0","About page","0","0","","0"
"1","","0","More Options Menu - Offline User - Delete permissions disabled","0","0","","0"
"1","","0","bfcache: login page","0","0","","0"
"1","","0","Navigation tests: Navigation view: as admin","0","0","","0"
"1","","0","User Test Cases ->","0","0","","0"
"1","","0","More Options Menu - Online User - Permissions enabled: Options displayed when there are no messages, contacts or people created","0","0","","0"
"1","","0","Hamburger Menu tests","0","0","","0"
"1","","0","Privacy policy: for an online user","0","0","","0"
