"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1810","should display report list dates converted to bikram sambat","","Mon Jul 14 14:52:55 UTC 2025","passed","Mon Jul 14 14:52:57 UTC 2025","","Bikram Sambat date display","",""
"","210","should display when navigating to the privacy policy page","","Mon Jul 14 15:02:21 UTC 2025","passed","Mon Jul 14 15:02:21 UTC 2025","","Privacy policy: for an offline user","",""
"","782","should not show on refresh","","Mon Jul 14 15:02:42 UTC 2025","passed","Mon Jul 14 15:02:43 UTC 2025","","Privacy policy: for an online user","",""
"","4157","should redirect the user to the app if already logged in","","Mon Jul 14 14:51:46 UTC 2025","passed","Mon Jul 14 14:51:50 UTC 2025","","Token login","",""
"","3564","should show french policy on secondary login","","Mon Jul 14 15:02:47 UTC 2025","passed","Mon Jul 14 15:02:50 UTC 2025","","Privacy policy: for an online user","",""
"","1538","should show if the user policy changes","","Mon Jul 14 15:02:51 UTC 2025","passed","Mon Jul 14 15:02:53 UTC 2025","","Privacy policy: for an online user","",""
"","1389","should hide the kebab menu.","","Mon Jul 14 14:54:00 UTC 2025","passed","Mon Jul 14 14:54:01 UTC 2025","","More Options Menu - Offline User: All permissions enabled: Message tab","",""
"","2348","should set correct cookies","","Mon Jul 14 14:50:37 UTC 2025","passed","Mon Jul 14 14:50:39 UTC 2025","","Login page functionality tests: Log in","",""
"","1110","should try to sign in with blank password and verify that credentials were incorrect","","Mon Jul 14 14:50:47 UTC 2025","passed","Mon Jul 14 14:50:48 UTC 2025","","Login page functionality tests: Log in","",""
"","2275","should revisit completed trainings and load uncompleted trainings","","Mon Jul 14 15:00:02 UTC 2025","passed","Mon Jul 14 15:00:04 UTC 2025","","Training Materials Page","",""
"","403","should open tasks tab","","Mon Jul 14 15:00:39 UTC 2025","passed","Mon Jul 14 15:00:39 UTC 2025","","Navigation tests: Navigation functionality","",""
"","720","should navigate to the Targets section, and open a target aggregate","","Mon Jul 14 15:02:01 UTC 2025","passed","Mon Jul 14 15:02:01 UTC 2025","","Old Navigation","",""
"","1458","should disable the 'export' option and hide the 'edit' and 'delete' options in Contact tab","","Mon Jul 14 14:57:55 UTC 2025","passed","Mon Jul 14 14:57:57 UTC 2025","","More Options Menu - Online User - Permissions enabled: Options displayed when there are no messages, contacts or people created","",""
"","1720","should hide the 'edit' and 'delete' options and enable the 'export' option when a contact is opened","","Mon Jul 14 14:57:42 UTC 2025","passed","Mon Jul 14 14:57:43 UTC 2025","","More Options Menu - Online User - Permissions disabled: Edit permissions disabled","",""
"","623","should open User settings","","Mon Jul 14 15:00:26 UTC 2025","passed","Mon Jul 14 15:00:26 UTC 2025","","Hamburger Menu tests","",""
"","1738","should verify password strength","","Mon Jul 14 14:51:05 UTC 2025","passed","Mon Jul 14 14:51:07 UTC 2025","","Login page functionality tests: Password Reset","",""
"","782","should redirect to login when not logged in","","Mon Jul 14 14:50:06 UTC 2025","passed","Mon Jul 14 14:50:07 UTC 2025","","Acessing the admin app","",""
"","9214","Refresh page multiple times and verify token gets renewed","","Mon Jul 14 14:51:25 UTC 2025","passed","Mon Jul 14 14:51:34 UTC 2025","","should renew token","",""
"","2079","should enable the 'export' option in Message tab.","","Mon Jul 14 14:58:08 UTC 2025","passed","Mon Jul 14 14:58:10 UTC 2025","","More Options Menu - Online User - Permissions enabled: Options displayed when there are messages, contacts and people created","",""
"","2289","should disable the 'export' option and hide the 'edit' and 'delete' options in Report tab","","Mon Jul 14 14:57:58 UTC 2025","passed","Mon Jul 14 14:58:01 UTC 2025","","More Options Menu - Online User - Permissions enabled: Options displayed when there are no messages, contacts or people created","",""
"","4114","should hide and reveal password value, and add user with a revealed password","","Mon Jul 14 14:58:44 UTC 2025","passed","Mon Jul 14 14:58:48 UTC 2025","","User Test Cases ->: Creating Users ->","",""
"","3178","TestCase for Passwords must match","","Mon Jul 14 14:58:59 UTC 2025","passed","Mon Jul 14 14:59:02 UTC 2025","","User Test Cases ->: Invalid entries -> ","",""
"","4489","enketo xpath extension function should display correct values when Nepali is not selected","","Mon Jul 14 14:52:44 UTC 2025","passed","Mon Jul 14 14:52:49 UTC 2025","","Bikram Sambat date display","",""
"","612","should hide the kebab menu when the sms report is opened","","Mon Jul 14 14:55:38 UTC 2025","passed","Mon Jul 14 14:55:39 UTC 2025","","More Options Menu - Offline User - Delete permissions disabled: Report tab","",""
"","3881","should add user with valid password","","Mon Jul 14 14:58:36 UTC 2025","passed","Mon Jul 14 14:58:40 UTC 2025","","User Test Cases ->: Creating Users ->","",""
"","4747","should hide the kebab menu in Messages, People and Reports tabs","","Mon Jul 14 14:54:38 UTC 2025","passed","Mon Jul 14 14:54:42 UTC 2025","","More Options Menu - Offline User: All permissions disabled","",""
"","23871","should support deleting translations","","Mon Jul 14 14:53:28 UTC 2025","passed","Mon Jul 14 14:53:52 UTC 2025","","Adding new language","",""
"","919","should navigate to the Reports section and open the first report listed","","Mon Jul 14 15:01:59 UTC 2025","passed","Mon Jul 14 15:02:00 UTC 2025","","Old Navigation","",""
"","1372","should display an error when token is expired","","Mon Jul 14 14:51:54 UTC 2025","passed","Mon Jul 14 14:51:55 UTC 2025","","Token login","",""
"","837","should display plurals correctly","","Mon Jul 14 14:52:32 UTC 2025","passed","Mon Jul 14 14:52:33 UTC 2025","","MessageFormat","",""
"","1424","should verify all fields are missing","","Mon Jul 14 14:51:00 UTC 2025","passed","Mon Jul 14 14:51:01 UTC 2025","","Login page functionality tests: Password Reset","",""
"","1050","should show if the user changes their language","","Mon Jul 14 15:02:50 UTC 2025","passed","Mon Jul 14 15:02:51 UTC 2025","","Privacy policy: for an online user","",""
"","3695","should add sso user","","Mon Jul 14 14:58:48 UTC 2025","passed","Mon Jul 14 14:58:52 UTC 2025","","User Test Cases ->: Creating Users ->","",""
"","3576","should not show on subsequent login","","Mon Jul 14 15:02:43 UTC 2025","passed","Mon Jul 14 15:02:47 UTC 2025","","Privacy policy: for an online user","",""
"","2701","should enable the 'export', 'review' and 'delete' options and hide the 'edit' option in Report tab when a NON XML report is opened.","","Mon Jul 14 14:58:11 UTC 2025","passed","Mon Jul 14 14:58:14 UTC 2025","","More Options Menu - Online User - Permissions enabled: Options displayed when there are messages, contacts and people created","",""
"","546","should hide the kebab menu when the xml report is opened.","","Mon Jul 14 14:56:29 UTC 2025","passed","Mon Jul 14 14:56:29 UTC 2025","","More Options Menu - Offline User - Edit permissions disabled: Report tab","",""
"","2304","should hide the 'export' option and enable the 'edit' and 'delete' options when a contact is opened","","Mon Jul 14 14:54:06 UTC 2025","passed","Mon Jul 14 14:54:08 UTC 2025","","More Options Menu - Offline User: All permissions enabled: Contact tab","",""
"","4556","should enable the 'export' option and hide the 'edit' and 'delete' options in Contact tab when none of the contacts is opened.","","Mon Jul 14 14:58:22 UTC 2025","passed","Mon Jul 14 14:58:26 UTC 2025","","More Options Menu - Online User - Permissions enabled: Options displayed when there are messages, contacts and people created","",""
"","1609","should verify current password cannot be same as new password","","Mon Jul 14 14:51:11 UTC 2025","passed","Mon Jul 14 14:51:13 UTC 2025","","Login page functionality tests: Password Reset","",""
"","1398","SMS report shows bsAggreDate type as date field correctly","","Mon Jul 14 14:53:01 UTC 2025","passed","Mon Jul 14 14:53:02 UTC 2025","","Bikram Sambat date display","",""
"","2275","should convert contact summary dates to bikram sambat when language is Nepali","","Mon Jul 14 14:52:57 UTC 2025","passed","Mon Jul 14 14:52:59 UTC 2025","","Bikram Sambat date display","",""
"","1057","should work with botched translations","","Mon Jul 14 14:52:33 UTC 2025","passed","Mon Jul 14 14:52:34 UTC 2025","","MessageFormat","",""
"","5615","should hide the 'export' and 'edit' options and enable the 'delete' and 'review' options when the sms report is opened","","Mon Jul 14 14:54:12 UTC 2025","passed","Mon Jul 14 14:54:18 UTC 2025","","More Options Menu - Offline User: All permissions enabled: Report tab","",""
"","3115","should open the about page","","Mon Jul 14 14:59:44 UTC 2025","passed","Mon Jul 14 14:59:47 UTC 2025","","About page","",""
"","3175","should require username","","Mon Jul 14 14:59:08 UTC 2025","passed","Mon Jul 14 14:59:11 UTC 2025","","User Test Cases ->: Invalid entries -> ","",""
"","3218","should navigate to the Messages section and open a sent message","","Mon Jul 14 15:01:54 UTC 2025","passed","Mon Jul 14 15:01:57 UTC 2025","","Old Navigation","",""
"","1134","should try to sign in with blank auth and verify that credentials were incorrect","","Mon Jul 14 14:50:49 UTC 2025","passed","Mon Jul 14 14:50:50 UTC 2025","","Login page functionality tests: Log in","",""
"","4649","should add user with multiple places with permission","","Mon Jul 14 14:58:40 UTC 2025","passed","Mon Jul 14 14:58:44 UTC 2025","","User Test Cases ->: Creating Users ->","",""
"","1501","SMS report shows bsDate type as date field correctly","","Mon Jul 14 14:52:59 UTC 2025","passed","Mon Jul 14 14:53:01 UTC 2025","","Bikram Sambat date display","",""
"","1133","should open Configuration app","","Mon Jul 14 15:00:29 UTC 2025","passed","Mon Jul 14 15:00:31 UTC 2025","","Hamburger Menu tests","",""
"","1273","should disable the 'export' option in Message tab","","Mon Jul 14 14:57:52 UTC 2025","passed","Mon Jul 14 14:57:54 UTC 2025","","More Options Menu - Online User - Permissions enabled: Options displayed when there are no messages, contacts or people created","",""
"","2732","should log in using username and password fields","","Mon Jul 14 14:50:33 UTC 2025","passed","Mon Jul 14 14:50:36 UTC 2025","","Login page functionality tests: Log in","",""
"","3082","should not fail due to document conflict for new offline user","","Mon Jul 14 15:02:59 UTC 2025","passed","Mon Jul 14 15:03:02 UTC 2025","","Privacy policy: conflicts","",""
"","560","should open Analytics tab","","Mon Jul 14 15:00:40 UTC 2025","passed","Mon Jul 14 15:00:41 UTC 2025","","Navigation tests: Navigation functionality","",""
"","3982","should show an upload summary with a successful upload and a failed upload","","Mon Jul 14 14:59:24 UTC 2025","passed","Mon Jul 14 14:59:28 UTC 2025","","Bulk User Creation ->","",""
"","2027","should navigate back to the login page when using either back button","","Mon Jul 14 15:02:08 UTC 2025","passed","Mon Jul 14 15:02:10 UTC 2025","","Privacy Policy Navigation for Unauthenticated Users","",""
"","2224","should enable the 'export', 'review', 'edit' and 'delete' options in Report tab when a XML report is opened.","","Mon Jul 14 14:58:15 UTC 2025","passed","Mon Jul 14 14:58:17 UTC 2025","","More Options Menu - Online User - Permissions enabled: Options displayed when there are messages, contacts and people created","",""
"","6643","enketo xpath extension function should display correct values when Nepali is selected","","Mon Jul 14 14:52:49 UTC 2025","passed","Mon Jul 14 14:52:55 UTC 2025","","Bikram Sambat date display","",""
"","498","should open About","","Mon Jul 14 15:00:25 UTC 2025","passed","Mon Jul 14 15:00:25 UTC 2025","","Hamburger Menu tests","",""
"","1107","should not create feedback docs when loading missing reports or people","","Mon Jul 14 15:01:28 UTC 2025","passed","Mon Jul 14 15:01:29 UTC 2025","","Navigation tests: Navigation view: as chw","",""
"","359","should display an error when token login is disabled","","Mon Jul 14 14:51:51 UTC 2025","passed","Mon Jul 14 14:51:51 UTC 2025","","Token login","",""
"","573","should hide the kebab menu when the sms report is opened.","","Mon Jul 14 14:56:28 UTC 2025","passed","Mon Jul 14 14:56:29 UTC 2025","","More Options Menu - Offline User - Edit permissions disabled: Report tab","",""
"","2209","should display partners","","Mon Jul 14 14:59:47 UTC 2025","passed","Mon Jul 14 14:59:49 UTC 2025","","About page","",""
"","11695","should work with incorrect locale","","Mon Jul 14 14:52:13 UTC 2025","passed","Mon Jul 14 14:52:24 UTC 2025","","Testing Incorrect locale","",""
"","76","should display tab labels, when all tabs are enabled","","Mon Jul 14 15:00:42 UTC 2025","passed","Mon Jul 14 15:00:43 UTC 2025","","Navigation tests: Navigation view: as admin","",""
"","4898","should show access error when accessing as an offline user","","Mon Jul 14 14:50:08 UTC 2025","passed","Mon Jul 14 14:50:13 UTC 2025","","Acessing the admin app","",""
