"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Privacy policy: for an offline user","","0","0","9","0","0"
"","Enabling/disabling languages","","0","0","2","0","0"
"","- DELETE permissions disabled","","0","0","5","0","0"
"","Acessing the admin app","","0","0","4","0","0"
"","Login page funcionality tests: Locale","","0","0","4","0","0"
"","User Test Cases ->: Invalid entries -> ","","0","0","7","0","0"
"","Login page funcionality tests: Log in","","0","0","9","0","0"
"","Adding new language","","0","0","6","0","0"
"","bfcache: webapp","","0","0","3","0","0"
"","Login page funcionality tests: Log out","","0","0","2","0","0"
"","Navigation tests: Navigation view: as admin","","0","0","3","0","0"
"","- permissions disabled: - export permissions disabled","","0","0","5","0","0"
"","Navigation tests: Navigation functionality","","0","0","7","0","0"
"","- permissions disabled: - DELETE permissions disabled","","0","0","4","0","0"
"","Hamburger Menu tests","","0","0","6","0","0"
"","More Options Menu - Offline User: all permissions disabled","","0","0","4","0","0"
"","- permissions disabled","","0","0","2","0","0"
"","More Options Menu - Offline User: all permissions enabled","","0","0","7","0","0"
"","Bikram Sambat date display","","0","0","8","0","0"
"","Privacy policy: for an online user","","0","0","9","0","0"
"","Token login","","0","0","8","0","0"
"","bfcache: admin app","","0","0","3","0","0"
"","Navigation tests: Navigation view: as chw","","0","0","3","0","0"
"","Menu options display - Online user","","0","0","7","0","0"
"","Bulk User Creation ->","","0","0","4","0","0"
"","Options enabled when there are items - Online user","","0","0","7","0","0"
"","MessageFormat","","0","0","3","0","0"
"","Testing Incorrect locale","","0","0","3","0","0"
"","Login page funcionality tests","","0","0","1","0","0"
"","bfcache: login page","","0","0","3","0","0"
"","About page","","0","0","4","0","0"
"","- permissions disabled: - EDIT permissions disabled","","0","0","4","0","0"
"","More Options Menu - Offline User","","0","0","1","0","0"
"","- EDIT permissions disabled","","0","0","5","0","0"
"","Privacy policy: conflicts","","0","0","3","0","0"
"","Create user meta db : ","","0","0","2","0","0"
"","User Test Cases ->: Creating Users ->","","0","0","3","0","0"
"","should renew token","","0","0","2","0","0"
"","User Test Cases ->","","0","0","1","0","0"
