"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2892","should redirect the user to the app if already logged in","","Wed Sep 24 12:22:59 UTC 2025","passed","Wed Sep 24 12:23:01 UTC 2025","","Token login","",""
"","4535","should add user with valid password","","Wed Sep 24 12:30:00 UTC 2025","passed","Wed Sep 24 12:30:04 UTC 2025","","User Test Cases ->: Creating Users ->","",""
"","1978","should navigate back to the login page when using either back button","","Wed Sep 24 12:33:29 UTC 2025","passed","Wed Sep 24 12:33:31 UTC 2025","","Privacy Policy Navigation for Unauthenticated Users","",""
"","985","should navigate to the Reports section and open the first report listed","","Wed Sep 24 12:33:18 UTC 2025","passed","Wed Sep 24 12:33:19 UTC 2025","","Old Navigation","",""
"","836","should display an error with incorrect url","","Wed Sep 24 12:23:03 UTC 2025","passed","Wed Sep 24 12:23:03 UTC 2025","","Token login","",""
"","1081","should open Configuration app","","Wed Sep 24 12:31:51 UTC 2025","passed","Wed Sep 24 12:31:52 UTC 2025","","Hamburger Menu tests","",""
"","2991","should log the user in when token is correct","","Wed Sep 24 12:23:07 UTC 2025","passed","Wed Sep 24 12:23:10 UTC 2025","","Token login","",""
"","490","should try to sign in with blank password and verify that credentials were incorrect","","Wed Sep 24 12:22:01 UTC 2025","passed","Wed Sep 24 12:22:01 UTC 2025","","Login page functionality tests: Log in","",""
"","6821","should log in the sso user","","Wed Sep 24 12:22:47 UTC 2025","passed","Wed Sep 24 12:22:54 UTC 2025","","SSO Login","",""
"","1065","should verify all fields are missing","","Wed Sep 24 12:22:11 UTC 2025","passed","Wed Sep 24 12:22:12 UTC 2025","","Login page functionality tests: Password Reset","",""
"","2240","should open the about page","","Wed Sep 24 12:31:08 UTC 2025","passed","Wed Sep 24 12:31:11 UTC 2025","","About page","",""
"","498","should try to sign in and verify that credentials were incorrect","","Wed Sep 24 12:22:04 UTC 2025","passed","Wed Sep 24 12:22:04 UTC 2025","","Login page functionality tests: Log in","",""
"","3415","should hide the kebab menu in Messages, People and Reports tabs","","Wed Sep 24 12:25:45 UTC 2025","passed","Wed Sep 24 12:25:49 UTC 2025","","More Options Menu - Offline User: All permissions disabled","",""
"","3438","should hide the 'export' option and enable the 'edit', 'delete' and 'review' options when the xml report is opened","","Wed Sep 24 12:25:29 UTC 2025","passed","Wed Sep 24 12:25:33 UTC 2025","","More Options Menu - Offline User: All permissions enabled: Report tab","",""
"","3685","should show the correct privacy policy on login","","Wed Sep 24 12:33:39 UTC 2025","passed","Wed Sep 24 12:33:43 UTC 2025","","Privacy policy: for an offline user","",""
"","2210","should disable the 'export' option and hide the 'edit' and 'delete' options in Report tab","","Wed Sep 24 12:29:00 UTC 2025","passed","Wed Sep 24 12:29:02 UTC 2025","","More Options Menu - Online User - Permissions enabled: Options displayed when there are no messages, contacts or people created","",""
"","531","should display an error when token login is disabled","","Wed Sep 24 12:23:02 UTC 2025","passed","Wed Sep 24 12:23:02 UTC 2025","","Token login","",""
"","431","should open Contacts or Peoples tab","","Wed Sep 24 12:32:01 UTC 2025","passed","Wed Sep 24 12:32:01 UTC 2025","","Navigation tests: Navigation functionality","",""
"","419","should hide the kebab menu when the xml report is opened.","","Wed Sep 24 12:27:31 UTC 2025","passed","Wed Sep 24 12:27:31 UTC 2025","","More Options Menu - Offline User - Edit permissions disabled: Report tab","",""
"","8527","Refresh page multiple times and verify token gets renewed","","Wed Sep 24 12:22:35 UTC 2025","passed","Wed Sep 24 12:22:43 UTC 2025","","should renew token","",""
"","65","should display tab labels, when all tabs are enabled","","Wed Sep 24 12:32:03 UTC 2025","passed","Wed Sep 24 12:32:03 UTC 2025","","Navigation tests: Navigation view: as admin","",""
"","3954","should hide the 'export' and 'edit' options and enable the 'delete' and 'review' options when the sms report is opened","","Wed Sep 24 12:25:24 UTC 2025","passed","Wed Sep 24 12:25:28 UTC 2025","","More Options Menu - Offline User: All permissions enabled: Report tab","",""
"","198","should show locale selector on login page","","Wed Sep 24 12:21:40 UTC 2025","passed","Wed Sep 24 12:21:41 UTC 2025","","Login page functionality tests: Locale","",""
"","700","should open Messages tab","","Wed Sep 24 12:31:59 UTC 2025","passed","Wed Sep 24 12:32:00 UTC 2025","","Navigation tests: Navigation functionality","",""
"","442","should hide the kebab menu when the sms report is opened.","","Wed Sep 24 12:27:30 UTC 2025","passed","Wed Sep 24 12:27:31 UTC 2025","","More Options Menu - Offline User - Edit permissions disabled: Report tab","",""
"","459","should hide the kebab menu when the sms report is opened","","Wed Sep 24 12:26:44 UTC 2025","passed","Wed Sep 24 12:26:45 UTC 2025","","More Options Menu - Offline User - Delete permissions disabled: Report tab","",""
"","1348","should verify current password is not correct","","Wed Sep 24 12:22:18 UTC 2025","passed","Wed Sep 24 12:22:20 UTC 2025","","Login page functionality tests: Password Reset","",""
"","1419","should enable the 'export', 'edit' and 'delete' options in Contact tab when a contact is opened.","","Wed Sep 24 12:29:18 UTC 2025","passed","Wed Sep 24 12:29:20 UTC 2025","","More Options Menu - Online User - Permissions enabled: Options displayed when there are messages, contacts and people created","",""
