"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1858","should filter resources, service-worker, forms, translations, branding, partners docs","db-sync","Tue Oct 07 17:47:23 UTC 2025","passed","Tue Oct 07 17:47:24 UTC 2025","","","",""
"","3682","should record telemetry for reports searches","Telemetry","Tue Oct 07 17:56:51 UTC 2025","passed","Tue Oct 07 17:56:55 UTC 2025","","search matches telemetry","",""
"","43503","purging runs when using chtScriptApi","purge","Tue Oct 07 17:55:43 UTC 2025","passed","Tue Oct 07 17:56:26 UTC 2025","","","",""
"","23473","should download new languages and language updates","ongoing replication","Tue Oct 07 17:52:39 UTC 2025","passed","Tue Oct 07 17:53:02 UTC 2025","","","",""
"","12534","should download settings updates","ongoing replication","Tue Oct 07 17:53:30 UTC 2025","passed","Tue Oct 07 17:53:43 UTC 2025","","","",""
"","4924","should record telemetry for contact searches","Telemetry","Tue Oct 07 17:56:46 UTC 2025","passed","Tue Oct 07 17:56:51 UTC 2025","","search matches telemetry","",""
"","4319","should record telemetry","Telemetry","Tue Oct 07 17:56:42 UTC 2025","passed","Tue Oct 07 17:56:46 UTC 2025","","","",""
"","2178","should be able to sync documents down","Database access for new roles","Tue Oct 07 17:47:05 UTC 2025","passed","Tue Oct 07 17:47:08 UTC 2025","","","",""
"","2145","should not filter deletes","db-sync","Tue Oct 07 17:47:20 UTC 2025","passed","Tue Oct 07 17:47:23 UTC 2025","","","",""
"","20157","should support ""disconnects""","initial-replication","Tue Oct 07 17:50:03 UTC 2025","passed","Tue Oct 07 17:50:23 UTC 2025","","","",""
"","59079","purging runs on sync","purge","Tue Oct 07 17:54:38 UTC 2025","passed","Tue Oct 07 17:55:37 UTC 2025","","","",""
"","5197","should replicate meta db down","db-sync","Tue Oct 07 17:47:33 UTC 2025","passed","Tue Oct 07 17:47:38 UTC 2025","","meta db replication","",""
"","59883","should log user in","initial-replication","Tue Oct 07 17:49:01 UTC 2025","passed","Tue Oct 07 17:50:01 UTC 2025","","","",""
"","3957","should not filter allowed docs","db-sync","Tue Oct 07 17:47:17 UTC 2025","passed","Tue Oct 07 17:47:20 UTC 2025","","","",""
"","7854","should record telemetry for contact searches from the select2 component","Telemetry","Tue Oct 07 17:56:55 UTC 2025","passed","Tue Oct 07 17:57:03 UTC 2025","","search matches telemetry","",""
"","2062","should filter ddocs","db-sync","Tue Oct 07 17:47:26 UTC 2025","passed","Tue Oct 07 17:47:28 UTC 2025","","","",""
"","21210","should handle conflicts","ongoing replication","Tue Oct 07 17:53:53 UTC 2025","passed","Tue Oct 07 17:54:15 UTC 2025","","","",""
"","24268","should download new documents ","ongoing replication","Tue Oct 07 17:51:09 UTC 2025","passed","Tue Oct 07 17:51:33 UTC 2025","","","",""
"","1728","should filter locally purged docs","db-sync","Tue Oct 07 17:47:24 UTC 2025","passed","Tue Oct 07 17:47:26 UTC 2025","","","",""
"","2828","should create and sync a feedback doc","Feedback docs","Tue Oct 07 17:47:48 UTC 2025","passed","Tue Oct 07 17:47:51 UTC 2025","","","",""
"","3353","user with custom role should be able to log in","Database access for new roles","Tue Oct 07 17:46:59 UTC 2025","passed","Tue Oct 07 17:47:03 UTC 2025","","","",""
"","19406","should download new forms and update forms","ongoing replication","Tue Oct 07 17:52:15 UTC 2025","passed","Tue Oct 07 17:52:35 UTC 2025","","","",""
"","10050","should handle updates to existing documents","ongoing replication","Tue Oct 07 17:51:58 UTC 2025","passed","Tue Oct 07 17:52:08 UTC 2025","","","",""
"","4780","should replicate meta db up","db-sync","Tue Oct 07 17:47:28 UTC 2025","passed","Tue Oct 07 17:47:33 UTC 2025","","meta db replication","",""
"","2692","should be able to sync documents up","Database access for new roles","Tue Oct 07 17:47:03 UTC 2025","passed","Tue Oct 07 17:47:05 UTC 2025","","","",""
"","19879","should handle deletes","ongoing replication","Tue Oct 07 17:53:06 UTC 2025","passed","Tue Oct 07 17:53:26 UTC 2025","","","",""
"","24566","should stop creating feedback docs once the db has over 1000 feedback docs","Feedback docs","Tue Oct 07 17:47:51 UTC 2025","passed","Tue Oct 07 17:48:16 UTC 2025","","","",""
