"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","user contact summary in forms","3","0","","0"
"0","","0","Pregnancy registration","1","0","","0"
"0","","0","Training Cards","7","0","","0"
"0","","0","Pregnancy danger sign follow-up form","3","0","","0"
"0","","0","Contact Delivery Form","3","0","","0"
"0","","0","Submit Photo Upload form","2","0","","0"
"0","","0","Unauthorized form","3","0","","0"
"0","","0","Submit Enketo form","4","0","","0"
"0","","0","Enketo Widgets","2","0","","0"
"0","","0","Submit an undo death report","1","0","","0"
"0","","0","RepeatForm: Repeat form with count input","2","0","","0"
"0","","0","Edit report with attachment","2","0","","0"
"0","","0","Phone widget","2","0","","0"
"0","","0","Submit a death report","1","0","","0"
"0","","0","RepeatForm: Repeat form with repeat button","2","0","","0"
"0","","0","Submit Z-Score form","2","0","","0"
"0","","0","RepeatForm: Repeat form with select","1","0","","0"
"0","","0","DB Object Widget","2","0","","0"
"0","","0","Countdown timer widget","1","0","","0"
"0","","0","Health Facility ANC Reminder task","1","0","","0"
"0","","0","Extension lib xpath function","1","0","","0"
"0","","0","Contact summary","1","0","","0"
"0","","0","Family form","1","0","","0"
"0","","0","Pregnancy Visit","1","0","","0"
