"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6172","should submit Enketo Widgets form - People's tab","","Thu Feb 13 17:17:08 UTC 2025","passed","Thu Feb 13 17:17:14 UTC 2025","","Enketo Widgets","",""
"","3173","should display training after reload and complete training","","Thu Feb 13 17:24:30 UTC 2025","passed","Thu Feb 13 17:24:33 UTC 2025","","Training Cards","",""
"","43968","open, submit and edit default delivery form","","Thu Feb 13 17:19:21 UTC 2025","passed","Thu Feb 13 17:20:05 UTC 2025","","Contact Delivery Form","",""
"","3358","should display the initial form and its repeated content in English","","Thu Feb 13 17:22:54 UTC 2025","passed","Thu Feb 13 17:22:57 UTC 2025","","RepeatForm: Repeat form with repeat button","",""
"","3613","can use duplicate phone number when editing contact with same number","","Thu Feb 13 17:17:44 UTC 2025","passed","Thu Feb 13 17:17:47 UTC 2025","","Phone widget","",""
"","3240","should display the initial form and its repeated content in Swahili","","Thu Feb 13 17:22:51 UTC 2025","passed","Thu Feb 13 17:22:54 UTC 2025","","RepeatForm: Repeat form with repeat button","",""
"","6152","should display training after privacy policy","","Thu Feb 13 17:24:24 UTC 2025","passed","Thu Feb 13 17:24:30 UTC 2025","","Training Cards","",""
"","2616","allows forms with required notes to be submitted","","Thu Feb 13 17:23:23 UTC 2025","passed","Thu Feb 13 17:23:25 UTC 2025","","Submit Enketo form","",""
"","11284","Submit and validate Pregnancy danger sign follow-up form and keeps the report minified","","Thu Feb 13 17:20:13 UTC 2025","passed","Thu Feb 13 17:20:25 UTC 2025","","Pregnancy danger sign follow-up form","",""
"","8799","should submit an undo death report, verify that it was registered successfully and verify that the counter for the Deaths, in the targets section, was set to 0.","","Thu Feb 13 17:25:14 UTC 2025","passed","Thu Feb 13 17:25:22 UTC 2025","","Submit an undo death report","",""
"","2265","should display confirm message when browser back button is clicked","","Thu Feb 13 17:24:18 UTC 2025","passed","Thu Feb 13 17:24:20 UTC 2025","","Training Cards","",""
"","61595","open, submit and edit (no changes) default delivery form","","Thu Feb 13 17:18:20 UTC 2025","passed","Thu Feb 13 17:19:21 UTC 2025","","Contact Delivery Form","",""
"","5556","should save edits","","Thu Feb 13 17:16:53 UTC 2025","passed","Thu Feb 13 17:16:59 UTC 2025","","Edit report with attachment","",""
"","4723","should display the initial form and its repeated content in Nepali","","Thu Feb 13 17:22:42 UTC 2025","passed","Thu Feb 13 17:22:47 UTC 2025","","RepeatForm: Repeat form with count input","",""
"","5923","saves z-score values","","Thu Feb 13 17:23:59 UTC 2025","passed","Thu Feb 13 17:24:05 UTC 2025","","Submit Z-Score form","",""
"","7640","should submit and edit Pregnancy danger sign follow-up form (no changes)","","Thu Feb 13 17:20:25 UTC 2025","passed","Thu Feb 13 17:20:32 UTC 2025","","Pregnancy danger sign follow-up form","",""
"","2074","should display confirm message before navigating to different page","","Thu Feb 13 17:24:16 UTC 2025","passed","Thu Feb 13 17:24:18 UTC 2025","","Training Cards","",""
"","13656","should submit the health facility ANC reminder task","","Thu Feb 13 17:20:59 UTC 2025","passed","Thu Feb 13 17:21:13 UTC 2025","","Health Facility ANC Reminder task","",""
"","2729","cancelling form with input triggers confirmation dialog box","","Thu Feb 13 17:23:27 UTC 2025","passed","Thu Feb 13 17:23:30 UTC 2025","","Submit Enketo form","",""
"","3622","should display only the contacts from the parent contact","","Thu Feb 13 17:16:10 UTC 2025","passed","Thu Feb 13 17:16:14 UTC 2025","","DB Object Widget","",""
"","5956","should load all reports","","Thu Feb 13 17:15:46 UTC 2025","passed","Thu Feb 13 17:15:52 UTC 2025","","Contact summary","",""
"","1410","should cancel training and not save it as completed","","Thu Feb 13 17:24:14 UTC 2025","passed","Thu Feb 13 17:24:16 UTC 2025","","Training Cards","",""
"","583","should not display completed training","","Thu Feb 13 17:24:33 UTC 2025","passed","Thu Feb 13 17:24:34 UTC 2025","","Training Cards","",""
"","47175","should submit a pregnancy visit and validate that the report was created successfully.","","Thu Feb 13 17:21:22 UTC 2025","passed","Thu Feb 13 17:22:09 UTC 2025","","Pregnancy Visit","",""
"","6409","should load contacts in non-relevant inputs group and from calculations","","Thu Feb 13 17:16:04 UTC 2025","passed","Thu Feb 13 17:16:10 UTC 2025","","DB Object Widget","",""
"","413","should display unauthorized error message in reports tab when form expression does not match","","Thu Feb 13 17:24:43 UTC 2025","passed","Thu Feb 13 17:24:44 UTC 2025","","Unauthorized form","",""
"","5863","Autofills zscore fields with correct values","","Thu Feb 13 17:23:53 UTC 2025","passed","Thu Feb 13 17:23:59 UTC 2025","","Submit Z-Score form","",""
"","6161","should submit Enketo Widgets form - Report's tab","","Thu Feb 13 17:17:14 UTC 2025","passed","Thu Feb 13 17:17:20 UTC 2025","","Enketo Widgets","",""
"","3465","should display the initial form and its repeated content in English","","Thu Feb 13 17:22:47 UTC 2025","passed","Thu Feb 13 17:22:51 UTC 2025","","RepeatForm: Repeat form with count input","",""
"","5628","should not display unauthorized error message in contacts tab when user has the form permission","","Thu Feb 13 17:24:50 UTC 2025","passed","Thu Feb 13 17:24:56 UTC 2025","","Unauthorized form","",""
"","6419","should display unauthorized error message in contacts tab when user does not have form permission","","Thu Feb 13 17:24:44 UTC 2025","passed","Thu Feb 13 17:24:50 UTC 2025","","Unauthorized form","",""
"","2879","submits on reports tab","","Thu Feb 13 17:23:20 UTC 2025","passed","Thu Feb 13 17:23:23 UTC 2025","","Submit Enketo form","",""
"","11890","Submit Add Family form","","Thu Feb 13 17:15:14 UTC 2025","passed","Thu Feb 13 17:15:25 UTC 2025","","Family form","",""
"","23766","Complete a delivery: Process a delivery with a live child and facility birth, verify that the past pregnancy card is present and the report was created,verify that the child registered during birth is created and displayed the proper information,verify that the targets page is updated","","Thu Feb 13 17:17:56 UTC 2025","passed","Thu Feb 13 17:18:20 UTC 2025","","Contact Delivery Form","",""
"","5039","submit and edit (with changes)","","Thu Feb 13 17:23:42 UTC 2025","passed","Thu Feb 13 17:23:47 UTC 2025","","Submit Photo Upload form","",""
"","4148","calculate average","","Thu Feb 13 17:17:28 UTC 2025","passed","Thu Feb 13 17:17:32 UTC 2025","","Extension lib xpath function","",""
"","2081","cancelling form with no input does not trigger confirmation dialog","","Thu Feb 13 17:23:25 UTC 2025","passed","Thu Feb 13 17:23:27 UTC 2025","","Submit Enketo form","",""
