"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28658","does not create any new user nor does it reparent new reports when the transition fails","","Tue Aug 05 19:58:09 UTC 2025","passed","Tue Aug 05 19:58:38 UTC 2025","","Create user for contacts: user replace: for an offline user","",""
"","17510","creates a new user when the replace_user form is submitted while online","","Tue Aug 05 19:55:25 UTC 2025","passed","Tue Aug 05 19:55:43 UTC 2025","","Create user for contacts: user replace: for an offline user","",""
"","34087","creates a new user and re-parents reports when the replace_user form is submitted","","Tue Aug 05 19:54:48 UTC 2025","passed","Tue Aug 05 19:55:22 UTC 2025","","Create user for contacts: user replace: for an offline user","",""
"","1491","should work with custom branding doc","","Tue Aug 05 19:47:57 UTC 2025","passed","Tue Aug 05 19:47:59 UTC 2025","","manifest.json","",""
"","1","should not process muting client-side if not enabled","","Tue Aug 05 19:52:16 UTC 2025","skipped","Tue Aug 05 19:52:16 UTC 2025","","Muting: for an offline user","",""
"","675","should load the page while offline","","Tue Aug 05 19:52:08 UTC 2025","passed","Tue Aug 05 19:52:09 UTC 2025","","Service worker cache","",""
"","17923","does not assign new person as primary contact of parent place if original person was not primary","","Tue Aug 05 19:55:46 UTC 2025","passed","Tue Aug 05 19:56:04 UTC 2025","","Create user for contacts: user replace: for an offline user","",""
"","20728","branding updates trigger login page refresh","","Tue Aug 05 19:48:07 UTC 2025","passed","Tue Aug 05 19:48:28 UTC 2025","","Service worker cache","",""
"","1","should mute and unmute a clinic while ""offline"", with processing in between","","Tue Aug 05 19:52:16 UTC 2025","skipped","Tue Aug 05 19:52:16 UTC 2025","","Muting: for an offline user","",""
"","16429","creates a new user when Sentinel recovers from outage","","Tue Aug 05 19:54:11 UTC 2025","passed","Tue Aug 05 19:54:27 UTC 2025","","Create user when adding contact","",""
"","75","confirm initial list of cached resources","","Tue Aug 05 19:48:07 UTC 2025","passed","Tue Aug 05 19:48:07 UTC 2025","","Service worker cache","",""
"","0","should save validation errors on docs","","Tue Aug 05 19:52:16 UTC 2025","skipped","Tue Aug 05 19:52:16 UTC 2025","","Muting: for an offline user","",""
"","53257","adding new languages triggers login page refresh","","Tue Aug 05 19:49:59 UTC 2025","passed","Tue Aug 05 19:50:52 UTC 2025","","Service worker cache","",""
"","10703","Creates a new user when adding a person while adding a place","","Tue Aug 05 19:52:54 UTC 2025","passed","Tue Aug 05 19:53:05 UTC 2025","","Create user when adding contact","",""
"","1607","should work without branding doc","","Tue Aug 05 19:47:56 UTC 2025","passed","Tue Aug 05 19:47:57 UTC 2025","","manifest.json","",""
"","22638","creates new user when replace_user form is submitted for contact associated with multiple users","","Tue Aug 05 19:56:44 UTC 2025","passed","Tue Aug 05 19:57:07 UTC 2025","","Create user for contacts: user replace: for an offline user","",""
"","10112","Does not create a new user when editing contact","","Tue Aug 05 19:53:58 UTC 2025","passed","Tue Aug 05 19:54:08 UTC 2025","","Create user when adding contact","",""
"","12011","creates a new user while online","","Tue Aug 05 19:52:39 UTC 2025","passed","Tue Aug 05 19:52:51 UTC 2025","","Create user when adding contact","",""
"","64","should not log bodies on replication request","","Tue Aug 05 19:58:47 UTC 2025","passed","Tue Aug 05 19:58:47 UTC 2025","","audit log","",""
"","1","should not process client-side when muting as an online user","","Tue Aug 05 19:52:16 UTC 2025","skipped","Tue Aug 05 19:52:16 UTC 2025","","Muting: for an online user","",""
"","12389","creates a new user when contact is added from app form","","Tue Aug 05 19:53:32 UTC 2025","passed","Tue Aug 05 19:53:45 UTC 2025","","Create user when adding contact","",""
"","33240","creates new user from latest replace_user form data if multiple are submitted before syncing","","Tue Aug 05 19:56:07 UTC 2025","passed","Tue Aug 05 19:56:40 UTC 2025","","Create user for contacts: user replace: for an offline user","",""
"","0","should mute and unmute a person while ""offline"", without processing in between","","Tue Aug 05 19:52:16 UTC 2025","skipped","Tue Aug 05 19:52:16 UTC 2025","","Muting: for an offline user","",""
"","1955","should not log bodies","","Tue Aug 05 19:58:45 UTC 2025","passed","Tue Aug 05 19:58:47 UTC 2025","","audit log","",""
"","19435","login page translation updates trigger login page refresh","","Tue Aug 05 19:48:50 UTC 2025","passed","Tue Aug 05 19:49:09 UTC 2025","","Service worker cache","",""
