"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Login page functionality tests: Log in","8","0","","0"
"0","","0","Browser Compatibility Modal","2","0","","0"
"0","","0","Report - Send message action","1","0","","0"
"0","","0","Navigation tests: Navigation functionality","5","0","","0"
"0","","0","Login page functionality tests: Password Reset","7","0","","0"
"0","","0","Training Cards","7","0","","0"
"0","","0","Navigation tests: Navigation view: as chw","2","0","","0"
"0","","0","Search Reports","2","0","","0"
"0","","0","More Options Menu - Offline User: Message tab","1","0","","0"
"0","","0","Bulk delete reports","2","0","","0"
"0","","0","Old Navigation","6","0","","0"
"0","","0","More Options Menu - Offline User: Contact tab","2","0","","0"
"0","","0","Content Security Policy","1","0","","0"
"0","","0","Navigation","2","0","","0"
"0","","0","Login page functionality tests: Locale","3","0","","0"
"0","","0","Delete Reports","1","0","","0"
"0","","0","Delete Contacts","1","0","","0"
"0","","0","Navigation tests: Navigation view: as admin","1","0","","0"
"0","","0","More Options Menu - Offline User: Report tab","2","0","","0"
"0","","0","Login page functionality tests: Log out","1","0","","0"
