"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","411","should open Contacts or Peoples tab","","Mon Jul 14 18:48:21 UTC 2025","passed","Mon Jul 14 18:48:22 UTC 2025","","Navigation tests: Navigation functionality","",""
"","3305","should display training after reload and complete training","","Mon Jul 14 18:49:45 UTC 2025","passed","Mon Jul 14 18:49:48 UTC 2025","","Training Cards","",""
"","2176","should display confirm message when browser back button is clicked","","Mon Jul 14 18:49:36 UTC 2025","passed","Mon Jul 14 18:49:38 UTC 2025","","Training Cards","",""
"","1829","should log in using username and password fields","","Mon Jul 14 18:47:31 UTC 2025","passed","Mon Jul 14 18:47:32 UTC 2025","","Login page functionality tests: Log in","",""
"","70","should display tab labels, when all tabs are enabled","","Mon Jul 14 18:48:24 UTC 2025","passed","Mon Jul 14 18:48:24 UTC 2025","","Navigation tests: Navigation view: as admin","",""
"","2804","should display the browser compatibility modal for outdated Chrome version","","Mon Jul 14 18:45:06 UTC 2025","passed","Mon Jul 14 18:45:09 UTC 2025","","Browser Compatibility Modal","",""
"","3277","should load reports list when navigating from a report that was opened from a contact page","","Mon Jul 14 18:46:00 UTC 2025","passed","Mon Jul 14 18:46:04 UTC 2025","","Navigation","",""
"","488","should try to sign in and verify that credentials were incorrect","","Mon Jul 14 18:47:45 UTC 2025","passed","Mon Jul 14 18:47:46 UTC 2025","","Login page functionality tests: Log in","",""
"","917","should not create feedback docs when loading missing reports or people","","Mon Jul 14 18:49:08 UTC 2025","passed","Mon Jul 14 18:49:09 UTC 2025","","Navigation tests: Navigation view: as chw","",""
"","2281","should return results matching the search term and then return all data when clearing search","","Mon Jul 14 18:47:02 UTC 2025","passed","Mon Jul 14 18:47:04 UTC 2025","","Search Reports","",""
"","1344","should verify password and confirm password mismatch","","Mon Jul 14 18:48:06 UTC 2025","passed","Mon Jul 14 18:48:07 UTC 2025","","Login page functionality tests: Password Reset","",""
"","545","should have a title","","Mon Jul 14 18:47:40 UTC 2025","passed","Mon Jul 14 18:47:41 UTC 2025","","Login page functionality tests: Log in","",""
"","1510","should open a selected report and a no selected report","","Mon Jul 14 18:46:52 UTC 2025","passed","Mon Jul 14 18:46:53 UTC 2025","","Bulk delete reports","",""
"","508","should open Reports or History tab","","Mon Jul 14 18:48:21 UTC 2025","passed","Mon Jul 14 18:48:21 UTC 2025","","Navigation tests: Navigation functionality","",""
"","392","should open tasks tab","","Mon Jul 14 18:48:20 UTC 2025","passed","Mon Jul 14 18:48:21 UTC 2025","","Navigation tests: Navigation functionality","",""
"","7099","Should delete report","","Mon Jul 14 18:49:14 UTC 2025","passed","Mon Jul 14 18:49:22 UTC 2025","","Delete Reports","",""
"","306","should hide the kebab menu.","","Mon Jul 14 18:45:36 UTC 2025","passed","Mon Jul 14 18:45:37 UTC 2025","","More Options Menu - Offline User: Message tab","",""
"","3262","should hide the 'export' and 'edit' options and disable the 'delete' option when the offline user's place is selected","","Mon Jul 14 18:45:40 UTC 2025","passed","Mon Jul 14 18:45:43 UTC 2025","","More Options Menu - Offline User: Contact tab","",""
"","4856","should display training after privacy policy","","Mon Jul 14 18:49:40 UTC 2025","passed","Mon Jul 14 18:49:45 UTC 2025","","Training Cards","",""
"","1516","should navigate to the Task section and open the first task listed","","Mon Jul 14 18:46:34 UTC 2025","passed","Mon Jul 14 18:46:35 UTC 2025","","Old Navigation","",""
"","74","should display tab labels, when some tabs are enabled","","Mon Jul 14 18:49:08 UTC 2025","passed","Mon Jul 14 18:49:08 UTC 2025","","Navigation tests: Navigation view: as chw","",""
"","3286","should reset password successfully and redirect to webapp","","Mon Jul 14 18:48:08 UTC 2025","passed","Mon Jul 14 18:48:12 UTC 2025","","Login page functionality tests: Password Reset","",""
"","2315","should hide and reveal password value, and login with a revealed password","","Mon Jul 14 18:47:47 UTC 2025","passed","Mon Jul 14 18:47:49 UTC 2025","","Login page functionality tests: Log in","",""
"","1134","should verify all fields are missing","","Mon Jul 14 18:47:53 UTC 2025","passed","Mon Jul 14 18:47:54 UTC 2025","","Login page functionality tests: Password Reset","",""
"","531","should navigate to the Targets section, and open a target aggregate","","Mon Jul 14 18:46:37 UTC 2025","passed","Mon Jul 14 18:46:37 UTC 2025","","Old Navigation","",""
"","2431","should navigate back to list view and return results when searching by case_id","","Mon Jul 14 18:47:04 UTC 2025","passed","Mon Jul 14 18:47:07 UTC 2025","","Search Reports","",""
"","3786","should not display the browser compatibility modal for updated Chrome version","","Mon Jul 14 18:45:02 UTC 2025","passed","Mon Jul 14 18:45:06 UTC 2025","","Browser Compatibility Modal","",""
"","512","should try to sign in with blank password and verify that credentials were incorrect","","Mon Jul 14 18:47:42 UTC 2025","passed","Mon Jul 14 18:47:43 UTC 2025","","Login page functionality tests: Log in","",""
