"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 28 10:23:15 UTC 2023","Fri Jul 28 10:23:18 UTC 2023","3494","","Login page funcionality tests: Log in","","Login page funcionality tests: Log in","should try to sign in with blank password and verify that credentials were incorrect","should try to sign in with blank password and verify that credentials were incorrect",""
"passed","Fri Jul 28 10:23:48 UTC 2023","Fri Jul 28 10:23:50 UTC 2023","1908","","Hamburger Menu tests","","Hamburger Menu tests","should open About","should open About",""
"passed","Fri Jul 28 10:23:35 UTC 2023","Fri Jul 28 10:23:36 UTC 2023","1661","","Navigation tests: Navigation functionality","","Navigation tests: Navigation functionality","should open Reports or History tab","should open Reports or History tab",""
"passed","Fri Jul 28 10:23:07 UTC 2023","Fri Jul 28 10:23:12 UTC 2023","4948","","Login page funcionality tests: Log in","","Login page funcionality tests: Log in","should display the ""session expired"" modal and redirect to login page","should display the ""session expired"" modal and redirect to login page",""
"passed","Fri Jul 28 10:23:50 UTC 2023","Fri Jul 28 10:23:51 UTC 2023","704","","Hamburger Menu tests","","Hamburger Menu tests","should open User settings","should open User settings",""
"passed","Fri Jul 28 10:23:30 UTC 2023","Fri Jul 28 10:23:33 UTC 2023","2893","","Navigation tests: Navigation functionality","","Navigation tests: Navigation functionality","should open Messages tab","should open Messages tab",""
"passed","Fri Jul 28 10:23:39 UTC 2023","Fri Jul 28 10:23:44 UTC 2023","4374","","Navigation tests: Navigation view","","Navigation tests: Navigation view","should display tab labels, when all tabs are enabled","should display tab labels, when all tabs are enabled",""
"passed","Fri Jul 28 10:21:43 UTC 2023","Fri Jul 28 10:21:51 UTC 2023","7100","","Delete Contacts","","Delete Contacts","Should delete contact","Should delete contact",""
"passed","Fri Jul 28 10:23:51 UTC 2023","Fri Jul 28 10:23:52 UTC 2023","834","","Hamburger Menu tests","","Hamburger Menu tests","should open Report bug","should open Report bug",""
"passed","Fri Jul 28 10:23:38 UTC 2023","Fri Jul 28 10:23:39 UTC 2023","1880","","Navigation tests: Navigation functionality","","Navigation tests: Navigation functionality","should open Analytics tab","should open Analytics tab",""
"passed","Fri Jul 28 10:23:18 UTC 2023","Fri Jul 28 10:23:22 UTC 2023","3450","","Login page funcionality tests: Log in","","Login page funcionality tests: Log in","should try to sign in with blank auth and verify that credentials were incorrect","should try to sign in with blank auth and verify that credentials were incorrect",""
"passed","Fri Jul 28 10:21:57 UTC 2023","Fri Jul 28 10:22:01 UTC 2023","4309","","Content Security Policy","","Content Security Policy","Telemetry script is not blocked by Content Security Policy","Telemetry script is not blocked by Content Security Policy",""
"passed","Fri Jul 28 10:22:50 UTC 2023","Fri Jul 28 10:22:53 UTC 2023","3011","","Login page funcionality tests: Locale","","Login page funcionality tests: Locale","should change locale to Spanish","should change locale to Spanish",""
"passed","Fri Jul 28 10:22:47 UTC 2023","Fri Jul 28 10:22:50 UTC 2023","2990","","Login page funcionality tests: Locale","","Login page funcionality tests: Locale","should change locale to French","should change locale to French",""
"passed","Fri Jul 28 10:22:32 UTC 2023","Fri Jul 28 10:22:37 UTC 2023","5733","","Delete Reports","","Delete Reports","Should delete report","Should delete report",""
"passed","Fri Jul 28 10:23:22 UTC 2023","Fri Jul 28 10:23:25 UTC 2023","3513","","Login page funcionality tests: Log in","","Login page funcionality tests: Log in","should try to sign in and verify that credentials were incorrect","should try to sign in and verify that credentials were incorrect",""
"passed","Fri Jul 28 10:23:36 UTC 2023","Fri Jul 28 10:23:38 UTC 2023","1232","","Navigation tests: Navigation functionality","","Navigation tests: Navigation functionality","should open Contacts or Peoples tab","should open Contacts or Peoples tab",""
"passed","Fri Jul 28 10:23:03 UTC 2023","Fri Jul 28 10:23:07 UTC 2023","4421","","Login page funcionality tests: Log in","","Login page funcionality tests: Log in","should set correct cookies","should set correct cookies",""
"passed","Fri Jul 28 10:23:52 UTC 2023","Fri Jul 28 10:23:54 UTC 2023","2160","","Hamburger Menu tests","","Hamburger Menu tests","should open Configuration app","should open Configuration app",""
"passed","Fri Jul 28 10:22:24 UTC 2023","Fri Jul 28 10:22:25 UTC 2023","1457","","Bulk delete reports","","Bulk delete reports","should open a selected report and a no selected report","should open a selected report and a no selected report",""
"passed","Fri Jul 28 10:23:25 UTC 2023","Fri Jul 28 10:23:30 UTC 2023","4756","","Login page funcionality tests: Log in","","Login page funcionality tests: Log in","should hide and reveal password value, and login with a revealed password","should hide and reveal password value, and login with a revealed password",""
"passed","Fri Jul 28 10:23:33 UTC 2023","Fri Jul 28 10:23:35 UTC 2023","1623","","Navigation tests: Navigation functionality","","Navigation tests: Navigation functionality","should open tasks tab","should open tasks tab",""
"passed","Fri Jul 28 10:22:53 UTC 2023","Fri Jul 28 10:22:58 UTC 2023","5273","","Login page funcionality tests: Log out","","Login page funcionality tests: Log out","should show a warning before log out","should show a warning before log out",""
"passed","Fri Jul 28 10:23:12 UTC 2023","Fri Jul 28 10:23:15 UTC 2023","2884","","Login page funcionality tests: Log in","","Login page funcionality tests: Log in","should have a title","should have a title",""
"passed","Fri Jul 28 10:22:06 UTC 2023","Fri Jul 28 10:22:24 UTC 2023","17527","","Bulk delete reports","","Bulk delete reports","should select, deselect and delete only selected reports","should select, deselect and delete only selected reports",""
"passed","Fri Jul 28 10:22:58 UTC 2023","Fri Jul 28 10:23:03 UTC 2023","4655","","Login page funcionality tests: Log in","","Login page funcionality tests: Log in","should log in using username and password fields","should log in using username and password fields",""
"passed","Fri Jul 28 10:23:44 UTC 2023","Fri Jul 28 10:23:48 UTC 2023","4594","","Navigation tests: Navigation view","","Navigation tests: Navigation view","should display tab labels, when some tabs are enabled","should display tab labels, when some tabs are enabled",""
"passed","Fri Jul 28 10:22:43 UTC 2023","Fri Jul 28 10:22:47 UTC 2023","3214","","Login page funcionality tests: Locale","","Login page funcionality tests: Locale","should show locale selector on login page","should show locale selector on login page",""
