"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","FAB actions","3","0","","0"
"0","","0","Reports Search","2","0","","0"
"0","","0","Target aggregates: User with one or more places assigned: Offline user with multiple places associated","3","0","","0"
"0","","0","Tasks","4","0","","0"
"0","","0","sms-gateway api: api returns list of pending WO messages","1","0","","0"
"0","","0","Create Person Under Area, ","1","0","","0"
"0","","0","Africas Talking api: Gateway submits WT sms status updates","1","0","","0"
"0","","0","Target aggregates: User with one or more places assigned: Online user with one place associated","4","0","","0"
"0","","0","Create new lineage structure ","9","0","","0"
"0","","0","User Test Cases -> Creating Users ->","1","0","","0"
"0","","0","Send message","8","0","","0"
"0","","0","Tasks group landing page: for supervisor","2","0","","0"
"0","","0","Contact details page.: Permissions to show reports and tasks","4","0","","0"
"0","","0","Reports Subject","12","0","","0"
"0","","0","Tasks group landing page: for chw","7","0","","0"
"0","","0","Targets","4","0","","0"
"0","","0","Delete Reports","1","0","","0"
"0","","0","Edit ","2","0","","0"
"0","","0","Message Tab - Sender Data","4","0","","0"
"0","","0","Reports tab breadcrumbs","3","0","","0"
"0","","0","Mute/Unmute contacts using a specific form - ","3","0","","0"
"0","","0","Reports Sidebar Filter","5","0","","0"
"0","","0","RapidPro SMS Gateway: Webapp originating messages and state updates","8","0","","0"
"0","","0","Africas Talking api: Webapp submits new GT sms messages","1","0","","0"
"0","","0","Creating custom places","7","0","","0"
"0","","0","Target accuracy","8","0","","0"
"0","","0","Tasks tab breadcrumbs: for chw","3","0","","0"
"0","","0","Contact Search","2","0","","0"
"0","","0","Export Reports","1","0","","0"
"0","","0","Bulk delete reports","1","0","","0"
"0","","0","RapidPro SMS Gateway: Webapp Terminating messages","7","0","","0"
"0","","0","Infinite scrolling","2","0","","0"
"0","","0","Target aggregates: DB admin","2","0","","0"
"0","","0","Task list due dates","3","0","","0"
"0","","0","Contact details page.: Contact summary error","1","0","","0"
"0","","0","Link SMS to patient without passing id","1","0","","0"
"0","","0","Export Messages","1","0","","0"
"0","","0","Tasks: contact tasks","2","0","","0"
"0","","0","Duplicate contact detection","6","0","","0"
"0","","0","sms-gateway api: Gateway submits new WT sms messages","1","0","","0"
"0","","0","Add new district tests : ","3","0","","0"
"0","","0","Tasks tab breadcrumbs: for supervisor","1","0","","0"
"0","","0","Africas Talking api: Gateway submits new WT sms messages","1","0","","0"
"0","","0","sms-gateway api: Gateway submits WT sms status updates","1","0","","0"
"0","","0","Generating short codes","1","0","","0"
"0","","0","Reports tab messages","1","0","","0"
"0","","0","Export Contacts ","1","0","","0"
