"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 16 22:05:37 UTC 2023","Thu Feb 16 22:05:47 UTC 2023","9963","","Edit report with attachmnet","","Edit report with attachmnet","should remove attachment when saving","should remove attachment when saving",""
"passed","Thu Feb 16 22:03:26 UTC 2023","Thu Feb 16 22:03:32 UTC 2023","5567","","Create new lineage structure","","Create new lineage structure","should edit the name of the Family","should edit the name of the Family",""
"passed","Thu Feb 16 22:10:12 UTC 2023","Thu Feb 16 22:10:17 UTC 2023","5480","","Submit Z-Score form","","Submit Z-Score form","Autofills zscore fields with correct values","Autofills zscore fields with correct values",""
"passed","Thu Feb 16 21:54:38 UTC 2023","Thu Feb 16 21:54:45 UTC 2023","6851","","Targets","","Targets","should display correct message when no target found","should display correct message when no target found",""
"passed","Thu Feb 16 22:21:06 UTC 2023","Thu Feb 16 22:21:11 UTC 2023","5543","","Export Reports","","Export Reports","Should download export file","Should download export file",""
"passed","Thu Feb 16 22:12:55 UTC 2023","Thu Feb 16 22:12:57 UTC 2023","1930","","More Options Menu - Offline User: all permissions enabled","","More Options Menu - Offline User: all permissions enabled","Report tab - options enabled when sms report selected","Report tab - options enabled when sms report selected",""
"passed","Thu Feb 16 22:13:41 UTC 2023","Thu Feb 16 22:13:41 UTC 2023","145","","- DELETE permissions disabled","","- DELETE permissions disabled","- Report tab - delete menu not displayed when sms report selected","- Report tab - delete menu not displayed when sms report selected",""
"passed","Thu Feb 16 22:12:53 UTC 2023","Thu Feb 16 22:12:55 UTC 2023","1340","","More Options Menu - Offline User: all permissions enabled","","More Options Menu - Offline User: all permissions enabled"," - Contact Tab - with same facility_id"," - Contact Tab - with same facility_id",""
"passed","Thu Feb 16 22:14:24 UTC 2023","Thu Feb 16 22:14:24 UTC 2023","460","","- permissions disabled: - export permissions disabled","","- permissions disabled: - export permissions disabled","- Message tab","- Message tab",""
"passed","Thu Feb 16 22:07:33 UTC 2023","Thu Feb 16 22:07:36 UTC 2023","3676","","RepeatForm: Repeat form with count input","","RepeatForm: Repeat form with count input","should display the initial form and its repeated content in English","should display the initial form and its repeated content in English",""
"passed","Thu Feb 16 22:01:43 UTC 2023","Thu Feb 16 22:01:48 UTC 2023","5182","","Export Contacts","","Export Contacts","Should download export file","Should download export file",""
"passed","Thu Feb 16 22:23:05 UTC 2023","Thu Feb 16 22:23:07 UTC 2023","2416","","sms-gateway api: - gateway submits new WT sms messages","","sms-gateway api: - gateway submits new WT sms messages","shows content","shows content",""
"passed","Thu Feb 16 22:14:10 UTC 2023","Thu Feb 16 22:14:10 UTC 2023","308","","- EDIT permissions disabled","","- EDIT permissions disabled","- Report tab - menu not displayed when xml report selected","- Report tab - menu not displayed when xml report selected",""
"passed","Thu Feb 16 22:16:31 UTC 2023","Thu Feb 16 22:16:33 UTC 2023","1579","","Hamburger Menu tests","","Hamburger Menu tests","should open About","should open About",""
"passed","Thu Feb 16 21:55:07 UTC 2023","Thu Feb 16 21:55:42 UTC 2023","35194","","Create user for contacts: for an offline user","","Create user for contacts: for an offline user","creates a new user and re-parents reports when the replace_user form is submitted","creates a new user and re-parents reports when the replace_user form is submitted",""
"passed","Thu Feb 16 22:12:52 UTC 2023","Thu Feb 16 22:12:53 UTC 2023","1375","","More Options Menu - Offline User: all permissions enabled","","More Options Menu - Offline User: all permissions enabled"," - Contact Tab - contact selected"," - Contact Tab - contact selected",""
"passed","Thu Feb 16 22:26:03 UTC 2023","Thu Feb 16 22:26:07 UTC 2023","3398","","MessageFormat","","MessageFormat","should display plurals correctly","should display plurals correctly",""
"passed","Thu Feb 16 22:14:10 UTC 2023","Thu Feb 16 22:14:10 UTC 2023","185","","- EDIT permissions disabled","","- EDIT permissions disabled","- Report tab - menu not displayed when sms report selected","- Report tab - menu not displayed when sms report selected",""
"passed","Thu Feb 16 22:22:32 UTC 2023","Thu Feb 16 22:22:38 UTC 2023","5750","","Service worker cache","","Service worker cache","adding new languages triggers login page refresh","adding new languages triggers login page refresh",""
"passed","Thu Feb 16 22:20:01 UTC 2023","Thu Feb 16 22:20:07 UTC 2023","5824","","Reports tab breadcrumbs","","Reports tab breadcrumbs","should display reports with breadcrumbs for online user","should display reports with breadcrumbs for online user",""
"passed","Thu Feb 16 22:11:31 UTC 2023","Thu Feb 16 22:11:36 UTC 2023","5287","","Login and logout tests","","Login and logout tests","should show a warning before log out","should show a warning before log out",""
"passed","Thu Feb 16 22:04:49 UTC 2023","Thu Feb 16 22:04:57 UTC 2023","8207","","Family form","","Family form","Submit Add Family form","Submit Add Family form",""
"passed","Thu Feb 16 22:16:42 UTC 2023","Thu Feb 16 22:16:45 UTC 2023","3091","","Navigation tests","","Navigation tests","should open Messages tab","should open Messages tab",""
"passed","Thu Feb 16 22:18:43 UTC 2023","Thu Feb 16 22:19:45 UTC 2023","61671","","purge","","purge","purging runs on sync and startup","purging runs on sync and startup",""
"passed","Thu Feb 16 22:25:28 UTC 2023","Thu Feb 16 22:25:32 UTC 2023","4125","","Tasks group landing page: for chw","","Tasks group landing page: for chw","should display modal when clicking on a task from another group","should display modal when clicking on a task from another group",""
"passed","Thu Feb 16 22:24:09 UTC 2023","Thu Feb 16 22:24:16 UTC 2023","6856","","Task list due dates","","Task list due dates","should display correct due dates with taskDaysOverdue setting","should display correct due dates with taskDaysOverdue setting",""
