"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 05 07:18:32 UTC 2024","Fri Jan 05 07:19:05 UTC 2024","33221","","Delivery","","","","""before all"" hook for Delivery",""
"passed","Fri Jan 05 07:18:17 UTC 2024","Fri Jan 05 07:18:19 UTC 2024","2146","","Creating contacts with standard config. ","","","","should create a new district hospital",""
"passed","Fri Jan 05 07:20:11 UTC 2024","Fri Jan 05 07:20:15 UTC 2024","3845","","Pregnancy Visit","","","","Submit new pregnancy visit - webapp",""
"passed","Fri Jan 05 07:20:56 UTC 2024","Fri Jan 05 07:21:00 UTC 2024","3587","","Registration by SMS","","","","Should create a new person via SMS and trigger the configured message schedule",""
"passed","Fri Jan 05 07:19:37 UTC 2024","Fri Jan 05 07:19:48 UTC 2024","11168","","Immunization Visit","","","","Submit immunization visit - webapp",""
"passed","Fri Jan 05 07:18:22 UTC 2024","Fri Jan 05 07:18:26 UTC 2024","3991","","Creating contacts with standard config. ","","","","should create a new clinic in the health center",""
"passed","Fri Jan 05 07:20:39 UTC 2024","Fri Jan 05 07:20:43 UTC 2024","3635","","New pregnancy","","","","Submit new pregnancy - Woman2 - SMS P form",""
"passed","Fri Jan 05 07:18:19 UTC 2024","Fri Jan 05 07:18:22 UTC 2024","3174","","Creating contacts with standard config. ","","","","should create a new health center in the district hospital",""
"passed","Fri Jan 05 07:20:03 UTC 2024","Fri Jan 05 07:20:11 UTC 2024","7363","","Pregnancy Visit","","","","""before all"" hook for Pregnancy Visit",""
"passed","Fri Jan 05 07:19:11 UTC 2024","Fri Jan 05 07:19:16 UTC 2024","5354","","Delivery","","","","Delivery - Woman2 - SMS D form",""
"passed","Fri Jan 05 07:19:34 UTC 2024","Fri Jan 05 07:19:37 UTC 2024","3041","","Immunization Visit","","","","Add a new child under 2 years old - SMS CW form",""
"passed","Fri Jan 05 07:20:15 UTC 2024","Fri Jan 05 07:20:17 UTC 2024","2261","","Pregnancy Visit","","","","Submit new pregnancy visit - SMS V form",""
"passed","Fri Jan 05 07:17:42 UTC 2024","Fri Jan 05 07:17:45 UTC 2024","2134","","Contact summary info","","","","""before all"" hook for Contact summary info",""
"passed","Fri Jan 05 07:18:10 UTC 2024","Fri Jan 05 07:18:11 UTC 2024","1129","","Contact summary info","","","","""after all"" hook for Contact summary info",""
"passed","Fri Jan 05 07:20:33 UTC 2024","Fri Jan 05 07:20:39 UTC 2024","6051","","New pregnancy","","","","Submit new pregnancy - Woman1 - webapp",""
"passed","Fri Jan 05 07:19:05 UTC 2024","Fri Jan 05 07:19:11 UTC 2024","6043","","Delivery","","","","Delivery - Woman1 - webapp",""
"passed","Fri Jan 05 07:19:50 UTC 2024","Fri Jan 05 07:19:53 UTC 2024","2305","","Immunization Visit","","","","Submit immunization visit - SMS IMM form",""
"passed","Fri Jan 05 07:19:16 UTC 2024","Fri Jan 05 07:19:22 UTC 2024","5771","","Delivery","","","","Verify the targets page",""
"passed","Fri Jan 05 07:19:58 UTC 2024","Fri Jan 05 07:19:59 UTC 2024","828","","Immunization Visit","","","","""after each"" hook for Immunization Visit",""
"passed","Fri Jan 05 07:19:53 UTC 2024","Fri Jan 05 07:19:58 UTC 2024","4722","","Immunization Visit","","","","Verify the targets page",""
"passed","Fri Jan 05 07:20:25 UTC 2024","Fri Jan 05 07:20:33 UTC 2024","8410","","New pregnancy","","","","should create required persons",""
"passed","Fri Jan 05 07:18:15 UTC 2024","Fri Jan 05 07:18:17 UTC 2024","1937","","Creating contacts with standard config. ","","","","""before all"" hook for Creating contacts with standard config. ",""
"passed","Fri Jan 05 07:21:09 UTC 2024","Fri Jan 05 07:21:10 UTC 2024","929","","Registration by SMS","","","","""after each"" hook for Registration by SMS",""
"passed","Fri Jan 05 07:17:58 UTC 2024","Fri Jan 05 07:18:05 UTC 2024","7287","","Contact summary info","","","","should have access to the ""cht"" global api variable",""
"passed","Fri Jan 05 07:20:53 UTC 2024","Fri Jan 05 07:20:56 UTC 2024","2796","","Registration by SMS","","","","""before all"" hook for Registration by SMS",""
"passed","Fri Jan 05 07:18:05 UTC 2024","Fri Jan 05 07:18:10 UTC 2024","4793","","Contact summary info","","","","""after each"" hook for Contact summary info",""
"skipped","Fri Jan 05 07:17:45 UTC 2024","Fri Jan 05 07:17:45 UTC 2024","0","","Contact summary info","","","","should load contact summary",""
"passed","Fri Jan 05 07:21:05 UTC 2024","Fri Jan 05 07:21:09 UTC 2024","4695","","Registration by SMS","","","","should add phone number field when set",""
"passed","Fri Jan 05 07:20:22 UTC 2024","Fri Jan 05 07:20:25 UTC 2024","3177","","New pregnancy","","","","""before all"" hook for New pregnancy",""
"passed","Fri Jan 05 07:17:45 UTC 2024","Fri Jan 05 07:17:55 UTC 2024","10627","","Contact summary info","","","","should display UHC Stats in contact summary, if contact counts visits and user has permission",""
"passed","Fri Jan 05 07:19:27 UTC 2024","Fri Jan 05 07:19:34 UTC 2024","6395","","Immunization Visit","","","","""before all"" hook for Immunization Visit",""
"passed","Fri Jan 05 07:20:43 UTC 2024","Fri Jan 05 07:20:48 UTC 2024","5118","","New pregnancy","","","","Verify the targets page",""
