"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 12 01:10:42 UTC 2023","Mon Jun 12 01:10:42 UTC 2023","655","","Immunization Visit","","Immunization Visit","Verify immunization report","Verify immunization report",""
"passed","Mon Jun 12 01:10:35 UTC 2023","Mon Jun 12 01:10:41 UTC 2023","5359","","Immunization Visit","","Immunization Visit","Submit immunization visit - webapp","Submit immunization visit - webapp",""
"passed","Mon Jun 12 01:10:15 UTC 2023","Mon Jun 12 01:10:20 UTC 2023","4902","","Delivery","","Delivery","Verify the targets page","Verify the targets page",""
"passed","Mon Jun 12 01:10:44 UTC 2023","Mon Jun 12 01:10:50 UTC 2023","5181","","Immunization Visit","","Immunization Visit","Verify the targets page","Verify the targets page",""
"passed","Mon Jun 12 01:07:58 UTC 2023","Mon Jun 12 01:08:08 UTC 2023","9903","","Contact summary info","","Contact summary info","should load contact summary","should load contact summary",""
"passed","Mon Jun 12 01:08:08 UTC 2023","Mon Jun 12 01:08:39 UTC 2023","31694","","Contact summary info","","Contact summary info","should display UHC Stats in contact summary, if contact counts visits and user has permission","should display UHC Stats in contact summary, if contact counts visits and user has permission",""
"passed","Mon Jun 12 01:11:35 UTC 2023","Mon Jun 12 01:11:40 UTC 2023","4770","","New pregnancy","","New pregnancy","Verify the targets page","Verify the targets page",""
"passed","Mon Jun 12 01:10:26 UTC 2023","Mon Jun 12 01:10:35 UTC 2023","9194","","Immunization Visit","","Immunization Visit","Add a new child under 2 years old - SMS CW form","Add a new child under 2 years old - SMS CW form",""
"passed","Mon Jun 12 01:09:20 UTC 2023","Mon Jun 12 01:09:24 UTC 2023","3679","","Creating contacts with standard config. ","","Creating contacts with standard config. ","should create a new health center in the district hospital","should create a new health center in the district hospital",""
"passed","Mon Jun 12 01:11:06 UTC 2023","Mon Jun 12 01:11:08 UTC 2023","2180","","Pregnancy Visit","","Pregnancy Visit","Submit new pregnancy visit - SMS V form","Submit new pregnancy visit - SMS V form",""
"passed","Mon Jun 12 01:11:24 UTC 2023","Mon Jun 12 01:11:30 UTC 2023","6395","","New pregnancy","","New pregnancy","Submit new pregnancy - Woman1 - webapp","Submit new pregnancy - Woman1 - webapp",""
"passed","Mon Jun 12 01:10:42 UTC 2023","Mon Jun 12 01:10:44 UTC 2023","1962","","Immunization Visit","","Immunization Visit","Submit immunization visit - SMS IMM form","Submit immunization visit - SMS IMM form",""
"passed","Mon Jun 12 01:08:39 UTC 2023","Mon Jun 12 01:09:10 UTC 2023","30709","","Contact summary info","","Contact summary info","should have access to the ""cht"" global api variable","should have access to the ""cht"" global api variable",""
"passed","Mon Jun 12 01:09:15 UTC 2023","Mon Jun 12 01:09:20 UTC 2023","4534","","Creating contacts with standard config. ","","Creating contacts with standard config. ","should create a new district hospital","should create a new district hospital",""
"passed","Mon Jun 12 01:11:46 UTC 2023","Mon Jun 12 01:11:53 UTC 2023","6949","","Registration by SMS","","Registration by SMS","Should create a new person via SMS and trigger the configured message schedule","Should create a new person via SMS and trigger the configured message schedule",""
"passed","Mon Jun 12 01:10:09 UTC 2023","Mon Jun 12 01:10:15 UTC 2023","6067","","Delivery","","Delivery","Delivery - Woman2 - SMS D form","Delivery - Woman2 - SMS D form",""
"passed","Mon Jun 12 01:10:41 UTC 2023","Mon Jun 12 01:10:42 UTC 2023","1131","","Immunization Visit","","Immunization Visit","Verify immunization card","Verify immunization card",""
"passed","Mon Jun 12 01:10:56 UTC 2023","Mon Jun 12 01:11:06 UTC 2023","10781","","Pregnancy Visit","","Pregnancy Visit","Submit new pregnancy visit - webapp","Submit new pregnancy visit - webapp",""
"passed","Mon Jun 12 01:09:24 UTC 2023","Mon Jun 12 01:09:28 UTC 2023","4032","","Creating contacts with standard config. ","","Creating contacts with standard config. ","should create a new clinic in the health center","should create a new clinic in the health center",""
"passed","Mon Jun 12 01:11:15 UTC 2023","Mon Jun 12 01:11:24 UTC 2023","9227","","New pregnancy","","New pregnancy","should create required persons","should create required persons",""
"passed","Mon Jun 12 01:09:34 UTC 2023","Mon Jun 12 01:10:09 UTC 2023","35070","","Delivery","","Delivery","Delivery - Woman1 - webapp","Delivery - Woman1 - webapp",""
"passed","Mon Jun 12 01:11:30 UTC 2023","Mon Jun 12 01:11:35 UTC 2023","4880","","New pregnancy","","New pregnancy","Submit new pregnancy - Woman2 - SMS P form","Submit new pregnancy - Woman2 - SMS P form",""
